KCNG1	Kv6.1	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	4.761904762	0	4.761904762	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	4.761904762	0	4.761904762	1300
KCNG2	Kv6.2	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	1300
KCNG3	Kv6.3	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	1300
KCNG4	Kv6.4	0.917431193	0	0.917431193	100	0	0	0	100	4.761904762	0	4.761904762	100	0	0	0	100	0	0	0	100	0	0	0	100	14.28571429	0	14.28571429	100	0	0	0	100	0	0	0	100	0	0	0	100	2.380952381	0	2.380952381	100	0	0	0	100	0	0	0	100	22.34600262	0	22.34600262	1300
KCNQ1	Kv7.1	7.438016529	5.785123967	1.652892562	100	28.57142857	28.57142857	0	100	0	0	0	100	14.28571429	14.28571429	0	100	64.28571429	57.14285714	7.142857143	100	42.85714286	38.0952381	4.761904762	100	25	25	0	100	52.17391304	52.17391304	0	100	76.92307692	76.92307692	0	100	61.9047619	61.9047619	0	100	53.33333333	51.11111111	2.222222222	100	57.14285714	57.14285714	0	100	17.68292683	15.24390244	2.43902439	100	501.5988857	483.3799846	18.21890108	1300
KCNQ2	Kv7.2	4.395604396	2.197802198	2.197802198	100	4.761904762	4.761904762	0	100	30	30	0	100	9.523809524	9.523809524	0	100	4.347826087	4.347826087	0	100	0	0	0	100	25	25	0	100	65.2173913	65.2173913	0	100	38.46153846	38.46153846	0	100	28.57142857	28.57142857	0	100	46.15384615	46.15384615	0	100	28.57142857	28.57142857	0	100	6.964285714	5.714285714	1.25	100	291.9690635	288.5212613	3.447802198	1300
KCNQ3	Kv7.3	0	0	0	100	0	0	0	100	10	10	0	100	0	0	0	100	4.347826087	4.347826087	0	100	0	0	0	100	0	0	0	100	4.545454545	4.545454545	0	100	0	0	0	100	0	0	0	100	10.41666667	10.41666667	0	100	4.761904762	0	4.761904762	100	1.727447217	0.575815739	1.151631478	100	35.79929928	29.88576304	5.91353624	1300
KCNQ4	Kv7.4	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	4.761904762	4.761904762	0	100	0	0	0	100	0	0	0	100	7.692307692	7.692307692	0	100	0	0	0	100	31.57894737	31.57894737	0	100	4.761904762	4.761904762	0	100	1.058201058	0.529100529	0.529100529	100	49.85326564	49.32416511	0.529100529	1300
KCNQ5	Kv7.5	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	1300
KCNV1	Kv8.1	0.476190476	0	0.476190476	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0.476190476	0	0.476190476	1300
KCNV2	Kv8.2	2.580645161	0.64516129	1.935483871	100	4.761904762	4.761904762	0	100	4.705882353	3.529411765	1.176470588	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	2.5	2.5	0	100	0	0	0	100	1.886792453	0	1.886792453	100	16.43522473	11.43647782	4.998746912	1300
KCNS1	Kv9.1	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	3.225806452	0	3.225806452	100	3.225806452	0	3.225806452	1300
KCNS2	Kv9.2	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	1300
KCNS3	Kv9.3	0	0	0	100	0	0	0	100	0	0	0	100	4.347826087	0	4.347826087	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	1.282051282	0	1.282051282	100	5.629877369	0	5.629877369	1300
KCNH1	Kv10.1	0.454545455	0.454545455	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	2.777777778	2.777777778	0	100	17.39130435	17.39130435	0	100	11.11111111	11.11111111	0	100	13.63636364	13.63636364	0	100	1.282051282	1.282051282	0	100	14.28571429	14.28571429	0	100	0.407331976	0.407331976	0	100	61.34619987	61.34619987	0	1300
KCNH5	Kv10.2	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0.19193858	0	0.19193858	100	0.19193858	0	0.19193858	1300
KCNH2	Kv11.1	12.40694789	10.91811414	1.488833747	100	19.04761905	19.04761905	0	100	7.692307692	7.692307692	0	100	9.523809524	9.523809524	0	100	12.5	12.5	0	100	19.04761905	19.04761905	0	100	0	0	0	100	28.57142857	23.80952381	4.761904762	100	0	0	0	100	52.38095238	52.38095238	0	100	52.85714286	52.85714286	0	100	19.04761905	19.04761905	0	100	12.6	9.2	3.4	100	245.6754461	236.0247076	9.650738509	1300
KCNH6	Kv11.2	0.383141762	0	0.383141762	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0.207039337	0	0.207039337	100	0.5901811	0	0.5901811	1300
KCNH7	Kv11.3	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0.187265918	0	0.187265918	100	0.187265918	0	0.187265918	1300
KCNH8	Kv12.1	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0.313479624	0	0.313479624	100	0.313479624	0	0.313479624	1300
KCNH3	Kv12.2	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	1300
KCNH4	Kv12.3	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	100	0	0	0	1300
